noise,qber_ideal,qber_hardware,qber_theoretical,success_ideal,success_hardware
0,0,0.015217391304347827,0,1,1
0.07142857142857142,0.009970238095238095,0.014492753623188406,0.017857142857142856,1,1
0.14285714285714285,0.062437801147478565,0.03707497371530149,0.03571428571428571,1,1
0.21428571428571427,0.06976961577701928,0.05461309523809524,0.05357142857142857,1,1
0.2857142857142857,0.022161172161172162,0.09887178233952428,0.07142857142857142,1,1
0.35714285714285715,0.07057113578852708,0.09133062029843385,0.08928571428571429,1,1
0.42857142857142855,0.10493395493395492,0.14376761111819095,0.10714285714285714,1,1
0.5,0.1629610655737705,0.14033420448245823,0.125,1,1
0.5714285714285714,0.13684680194915833,0.15977564102564104,0.14285714285714285,1,0
0.6428571428571429,0.1658329529316291,0.16172426607209217,0.16071428571428573,1,1
0.7142857142857143,0.19941395422507324,0.18409586056644878,0.17857142857142858,0,0
0.7857142857142857,0.26145468049873366,0.20432965889506716,0.19642857142857142,0,1
0.8571428571428571,0.20374154624629007,0.24481523378582204,0.21428571428571427,1,0
0.9285714285714286,0.24533717648471745,0.24263111437653384,0.23214285714285715,0,0
1,0.23588244299981156,0.2734199480645067,0.25,0,0
